Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Bucharest,05/16/2020,59.6,82.1,71.3,55.2,58.73,81.6,10.0,17.9,172.21,,0.0,0.0,0.0,6.2,57.3,1016.4,,44.4343,26.103,"București, România","București, România",,Partially cloudy
Bucharest,05/17/2020,56.9,80.0,68.2,56.0,66.09,,4.5,15.7,117.92,,0.0,4.17,0.0,6.2,81.5,1018.6,,44.4343,26.103,"București, România","București, România",,Overcast
Bucharest,05/18/2020,60.2,74.0,66.4,52.0,60.45,,4.5,6.7,100.75,,0.04,20.83,0.0,6.2,74.9,1022.0,"Rain, Rain Showers, Light Rain, Sky Coverage Increasing, Sky Unchanged",44.4343,26.103,"București, România","București, România",,"Rain, Partially cloudy"
Bucharest,05/19/2020,58.7,81.2,69.7,55.2,61.65,81.2,2.8,11.2,134.75,,0.01,4.17,0.0,6.2,76.1,1018.3,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România",,"Rain, Overcast"
Bucharest,05/20/2020,59.1,79.4,68.8,57.6,68.2,,9.0,15.7,123.21,,0.25,20.83,0.0,6.2,83.6,1011.0,"Lightning Without Thunder, Mist, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România",,"Rain, Overcast"
Bucharest,05/21/2020,51.0,60.5,55.2,49.1,81.02,,6.8,11.2,56.75,,1.1,62.5,0.79,6.1,96.4,1014.5,"Thunderstorm, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România",,"Rain, Overcast"
Bucharest,05/22/2020,49.4,66.5,57.2,45.2,67.39,,6.7,4.5,195.08,,0.88,29.17,0.1,6.5,76.1,1020.0,"Thunderstorm, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România",,"Rain, Overcast"
Bucharest,05/23/2020,47.4,71.0,58.3,43.3,63.52,,4.5,8.9,180.75,46.8,0.16,4.17,0.0,6.2,56.9,1022.9,Sky Coverage Increasing,44.4343,26.103,"București, România","București, România",,"Rain, Partially cloudy"
Bucharest,05/24/2020,47.9,73.7,59.6,48.5,68.35,,6.7,6.7,191.83,47.9,0.1,25.0,0.0,6.2,76.1,1020.3,"Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",44.4343,26.103,"București, România","București, România",,"Rain, Overcast"
Bucharest,05/25/2020,53.9,70.0,59.7,47.7,66.54,,4.5,4.5,180.29,,0.12,41.67,0.0,6.2,84.8,1021.4,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România",,"Rain, Overcast"
Bucharest,05/26/2020,50.6,67.2,56.9,49.0,76.34,,5.7,8.9,126.29,,0.61,37.5,0.19,6.2,76.5,1021.1,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România",,"Rain, Overcast"
Bucharest,05/27/2020,48.8,68.6,59.0,48.5,71.21,,4.5,6.7,172.13,,0.07,20.83,0.0,6.2,67.0,1021.0,"Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",44.4343,26.103,"București, România","București, România",,"Rain, Partially cloudy"
Bucharest,05/28/2020,50.3,72.7,59.5,49.2,71.65,,4.5,4.5,220.42,,0.49,20.83,0.13,6.2,86.4,1017.1,"Rain, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România",,"Rain, Overcast"
Bucharest,05/29/2020,48.8,69.5,59.0,50.7,76.57,,4.5,2.2,213.75,47.2,0.26,37.5,0.0,6.2,81.1,1014.4,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România",,"Rain, Overcast"
Bucharest,05/30/2020,51.9,69.5,58.0,52.5,83.56,,6.7,6.7,243.88,,0.79,58.33,0.17,6.2,67.4,1012.8,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",44.4343,26.103,"București, România","București, România",,"Rain, Partially cloudy"
Bucharest,05/31/2020,49.4,74.0,61.7,46.4,61.95,,11.2,13.4,235.5,47.8,0.0,0.0,0.0,6.2,21.7,1010.8,,44.4343,26.103,"București, România","București, România",,Clear
Bucharest,06/01/2020,49.4,72.7,60.3,47.2,64.7,,4.5,4.5,214.42,47.8,0.08,20.83,0.0,6.2,62.4,1010.6,"Mist, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România",,"Rain, Partially cloudy"
Bucharest,06/02/2020,50.3,60.2,54.5,50.6,87.64,,4.5,13.4,57.33,,1.27,83.33,0.31,6.0,91.9,1010.4,"Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",44.4343,26.103,"București, România","București, România",,"Rain, Overcast"
Bucharest,06/03/2020,45.8,71.8,58.7,45.9,66.44,,4.5,8.9,244.63,48.9,0.01,8.33,0.0,6.2,28.4,1008.1,"Rain Showers, Sky Coverage Decreasing",44.4343,26.103,"București, România","București, România",,"Rain, Partially cloudy"
Bucharest,06/04/2020,47.9,77.6,63.2,49.9,65.21,,6.7,4.5,227.45,,0.0,0.0,0.0,6.2,19.1,1007.9,,44.4343,26.103,"București, România","București, România",,Clear
Bucharest,06/05/2020,56.0,87.0,71.9,53.3,55.6,85.3,4.5,4.5,219.67,,0.0,0.0,0.0,6.2,38.0,1007.8,,44.4343,26.103,"București, România","București, România",,Partially cloudy
Bucharest,06/06/2020,59.6,87.0,73.0,56.1,59.03,84.7,4.5,13.4,114.0,,0.0,0.0,0.0,6.2,70.7,1008.7,,44.4343,26.103,"București, România","București, România",,Partially cloudy
Bucharest,06/07/2020,59.6,78.5,69.6,54.1,58.95,,4.5,15.7,49.46,,0.03,20.83,0.0,6.2,72.4,1009.0,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România",,"Rain, Partially cloudy"
Bucharest,06/08/2020,58.2,80.9,69.1,58.3,71.26,81.3,4.5,8.9,105.5,,0.0,0.0,0.0,6.2,39.2,1008.0,,44.4343,26.103,"București, România","București, România",,Partially cloudy
Bucharest,06/09/2020,63.6,88.9,75.5,60.0,62.54,87.7,4.5,4.5,193.79,,0.5,20.83,0.08,6.2,57.9,1008.1,"Lightning Without Thunder, Thunderstorm, Thunderstorm Without Precipitation",44.4343,26.103,"București, România","București, România",,"Rain, Partially cloudy"
Bucharest,06/10/2020,63.8,87.1,74.3,61.3,67.74,88.0,6.7,6.7,240.67,,0.93,25.0,0.22,6.2,57.8,1009.2,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România",,"Rain, Partially cloudy"
Bucharest,06/11/2020,65.9,80.9,70.2,60.5,72.33,81.4,4.5,6.7,233.63,,0.48,45.83,0.0,6.2,87.7,1007.0,"Lightning Without Thunder, Thunderstorm, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",44.4343,26.103,"București, România","București, România",,"Rain, Overcast"
Bucharest,06/12/2020,62.3,76.7,68.6,62.5,82.06,,6.7,4.5,230.33,,0.95,45.83,1.18,6.2,72.0,1004.7,"Mist, Thunderstorm, Rain Showers, Light Rain, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România",,"Rain, Partially cloudy"
Bucharest,06/13/2020,58.4,86.2,71.6,60.5,71.44,85.4,5.6,8.9,228.17,,0.54,16.67,0.35,6.2,38.9,1005.0,"Mist, Thunderstorm, Thunderstorm Without Precipitation, Fog, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",44.4343,26.103,"București, România","București, România",,"Rain, Partially cloudy"
Bucharest,06/14/2020,62.3,84.8,71.4,64.3,80.69,86.2,4.5,8.9,184.38,,0.16,41.67,0.25,6.5,50.8,1004.6,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România",,"Rain, Partially cloudy"
Bucharest,06/15/2020,63.8,78.1,68.4,66.1,92.87,,4.5,8.9,100.25,,1.34,58.33,0.42,6.2,90.2,1008.2,"Mist, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",44.4343,26.103,"București, România","București, România",,"Rain, Overcast"
Bucharest,06/16/2020,61.1,82.1,68.8,62.8,84.02,82.5,4.5,8.9,84.08,,0.06,25.0,0.0,5.6,77.0,1008.9,"Mist, Light Drizzle, Thunderstorm, Thunderstorm Without Precipitation, Fog, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România",,"Rain, Overcast"
Bucharest,06/17/2020,62.9,78.0,67.4,63.5,88.62,,4.5,13.4,125.96,,1.19,66.67,0.29,6.2,83.6,1007.5,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",44.4343,26.103,"București, România","București, România",,"Rain, Overcast"
Bucharest,06/18/2020,61.8,79.1,68.3,64.3,88.39,,4.6,2.2,212.42,,0.28,16.67,0.0,6.2,76.1,1008.1,"Mist, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",44.4343,26.103,"București, România","București, România",,"Rain, Overcast"
