Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Belgrade,05/16/2020,53.1,69.1,61.1,47.8,62.59,,11.9,,236.13,,0.0,4.17,,7.6,38.4,1021.8,"Rain, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,Partially cloudy
Belgrade,05/17/2020,56.7,68.6,63.2,55.9,77.9,,6.9,22.4,203.0,,0.02,4.17,,7.2,45.1,1019.4,"Mist, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Partially cloudy"
Belgrade,05/18/2020,57.2,72.1,64.5,55.1,73.71,,5.6,,161.63,,0.01,4.17,,7.0,32.3,1022.1,"Mist, Light Rain, Sky Coverage Decreasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Partially cloudy"
Belgrade,05/19/2020,60.3,75.5,67.6,59.0,75.15,,11.2,,124.17,,0.0,0.0,,7.4,27.7,1017.0,"Mist, Rain, Light Rain, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,Partially cloudy
Belgrade,05/20/2020,59.0,66.4,62.4,57.7,85.14,,16.8,31.3,279.83,,1.11,12.5,,6.8,63.2,1011.4,"Thunderstorm, Rain, Thunderstorm Without Precipitation, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Partially cloudy"
Belgrade,05/21/2020,49.0,68.3,60.1,41.6,53.02,,15.2,,317.25,44.9,0.0,0.0,,9.7,10.3,1016.5,"Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,Clear
Belgrade,05/22/2020,46.6,69.9,59.0,36.4,46.03,,10.2,,263.83,46.2,0.0,0.0,,11.8,0.1,1022.6,,44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,Clear
Belgrade,05/23/2020,51.9,74.0,63.2,47.6,58.57,,9.0,,216.13,,0.0,4.17,,9.5,25.8,1023.5,"Rain, Light Rain, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,Partially cloudy
Belgrade,05/24/2020,53.9,66.4,60.4,50.5,71.49,,18.3,24.6,261.5,,0.13,8.33,,8.6,39.9,1023.5,"Rain, Rain Showers, Light Rain, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Partially cloudy"
Belgrade,05/25/2020,46.9,66.8,58.1,45.4,64.82,,13.8,31.1,277.75,43.2,0.08,12.5,,9.7,19.8,1024.6,"Mist, Rain, Thunderstorm, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,Rain
Belgrade,05/26/2020,51.3,62.4,53.8,51.4,91.79,,12.0,,255.17,,0.88,16.67,,6.6,52.3,1023.9,"Rain, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Partially cloudy"
Belgrade,05/27/2020,47.9,67.5,56.6,50.3,81.26,,13.3,,302.67,45.0,0.0,4.17,,8.8,48.5,1024.9,"Mist, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,Partially cloudy
Belgrade,05/28/2020,49.5,69.1,59.1,49.9,73.58,,16.5,26.8,266.38,46.8,0.21,12.5,,8.8,37.6,1020.7,"Mist, Rain, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Partially cloudy"
Belgrade,05/29/2020,51.5,65.9,58.6,51.2,77.77,,15.2,,280.21,,0.04,4.17,,7.7,34.3,1018.6,"Rain, Thunderstorm, Rain Showers, Light Rain, Sky Coverage Decreasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Partially cloudy"
Belgrade,05/30/2020,53.6,64.2,57.0,53.0,87.46,,9.5,17.9,251.42,,0.03,8.33,,6.4,44.5,1016.4,"Mist, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Partially cloudy"
Belgrade,05/31/2020,45.7,64.1,56.0,45.8,70.0,,18.4,24.6,271.88,41.7,0.0,0.0,,9.5,25.5,1015.3,,44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,Partially cloudy
Belgrade,06/01/2020,47.7,61.6,53.8,51.8,93.03,,11.9,,246.83,44.7,0.32,8.33,,8.4,69.6,1015.2,"Drizzle, Mist, Light Drizzle, Thunderstorm, Rain, Thunderstorm Without Precipitation, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Partially cloudy"
Belgrade,06/02/2020,51.0,67.5,57.0,50.4,81.86,,13.7,,242.38,,0.43,16.67,,8.5,31.0,1012.1,"Mist, Rain, Rain Showers, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",44.8131,20.4633,"Београд, Централна Србија, Србија","Београд, Централна Србија, Србија",,"Rain, Partially cloudy"
