Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions,You have exceeded the maximum number of daily result records for your account. Please add a credit card to continue retrieving results.
Moscow,05/16/2021,52.5,72.0,63.3,50.9,66.56,,12.8,,188.0,,0.0,0.0,,6.2,18.6,1011.7,,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear,
Moscow,05/17/2021,54.2,84.6,71.2,49.2,49.75,82.4,17.2,134.2,97.38,,0.0,0.0,,6.2,0.0,1011.3,,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear,
Moscow,05/18/2021,61.4,85.3,75.1,42.2,33.14,82.2,20.9,40.3,112.29,,0.0,0.0,,6.2,0.0,1007.1,,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear,
Moscow,05/19/2021,63.8,74.3,70.5,48.3,46.11,,20.5,33.7,113.96,,0.0,0.0,,6.2,14.3,1005.1,,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear,
Moscow,05/20/2021,55.9,65.8,61.4,53.1,74.68,,13.2,26.8,119.54,,0.02,4.17,,6.2,45.0,1003.2,"Thunderstorm, Rain Showers, Light Rain, Sky Coverage Decreasing",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy",
Moscow,05/21/2021,51.7,60.9,55.6,47.7,75.75,,18.7,,207.96,,0.0,0.0,,6.2,60.8,1004.8,"Light Drizzle, Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Partially cloudy,
Moscow,05/22/2021,43.3,68.0,58.1,39.8,53.41,,15.4,17.9,213.92,41.7,0.0,0.0,,6.2,2.0,1013.1,Fog,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear,
Moscow,05/23/2021,49.5,70.5,60.6,42.4,53.26,,18.6,29.1,180.08,47.4,0.0,0.0,,6.2,7.3,1011.9,"Rain Showers, Light Rain, Sky Coverage Decreasing",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear,
Moscow,05/24/2021,48.0,67.8,58.8,42.9,57.94,,16.4,20.1,263.38,44.2,0.0,0.0,,6.2,8.6,1016.2,,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear,
Moscow,05/25/2021,49.3,68.2,59.6,41.3,53.22,,8.4,26.8,290.25,47.3,0.0,0.0,,6.2,1.3,1021.7,,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear,
