Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Moscow,05/16/2020,40.0,55.7,47.9,33.2,57.72,,16.7,35.8,233.08,34.9,0.04,4.17,,6.2,25.4,1010.8,"Rain Showers, Sky Coverage Decreasing",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,05/17/2020,41.0,58.0,49.0,36.7,64.26,,23.8,40.3,237.79,35.3,0.0,0.0,,6.2,30.0,1011.6,Rain Showers,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Partially cloudy
Moscow,05/18/2020,38.9,53.9,45.4,38.0,75.9,,25.7,58.2,251.75,31.4,0.12,8.33,,6.1,45.4,1005.6,"Rain Showers, Light Rain, Sky Coverage Increasing",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,05/19/2020,38.1,53.2,44.7,33.7,67.49,,16.2,,283.67,30.8,0.04,4.17,,6.2,56.9,1010.3,"Mist, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,05/20/2020,34.2,58.3,46.2,34.0,66.71,,13.6,35.8,263.5,31.6,0.2,4.17,,5.9,25.5,1008.2,"Mist, Fog, Rain Showers",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,05/21/2020,39.5,48.6,43.2,37.0,79.88,,12.1,,325.17,32.4,0.24,8.33,,5.8,71.3,1007.6,"Mist, Light Drizzle, Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,05/22/2020,38.5,47.8,43.4,38.8,84.28,,11.2,24.6,193.13,32.0,0.36,8.33,,5.9,87.9,1013.8,"Mist, Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Overcast"
Moscow,05/23/2020,39.2,48.0,43.3,38.9,84.87,,8.5,20.1,135.04,35.0,0.22,8.33,,6.1,87.6,1019.9,"Rain, Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Overcast"
Moscow,05/24/2020,41.3,50.0,46.1,40.8,82.36,,8.5,,285.5,38.2,0.04,4.17,,6.0,70.5,1019.2,"Mist, Rain Showers",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,05/25/2020,44.6,63.4,54.3,41.4,65.2,,7.4,,207.04,41.3,0.0,0.0,,6.2,19.6,,"Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
Moscow,05/26/2020,44.0,65.1,57.0,42.7,61.36,,8.0,24.6,99.83,43.1,0.0,4.17,,6.1,11.5,1026.5,"Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
Moscow,05/27/2020,50.0,64.4,56.7,45.7,68.73,,6.7,13.4,191.61,,0.03,8.33,,6.0,23.0,1024.0,"Mist, Rain Showers, Light Rain, Sky Coverage Increasing",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Rain
Moscow,05/28/2020,47.5,68.7,60.5,44.6,58.39,,7.6,,203.96,,0.0,0.0,,6.1,3.9,1023.9,Mist,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
Moscow,05/29/2020,53.3,59.3,56.4,53.5,90.54,,12.6,,89.25,,1.46,8.33,,4.2,65.2,1016.6,"Mist, Thunderstorm, Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,05/30/2020,56.5,72.7,62.1,56.7,83.71,,20.7,,46.79,,0.91,4.17,,5.8,64.0,1013.6,"Mist, Thunderstorm, Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,05/31/2020,48.2,57.5,52.1,49.1,89.54,,20.7,35.8,30.08,43.4,1.3,12.5,,5.5,77.3,1011.3,"Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Overcast"
Moscow,06/01/2020,46.4,51.1,48.9,45.0,86.42,,17.6,31.3,51.29,39.9,0.2,8.33,,5.7,90.0,1014.3,"Mist, Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Overcast"
Moscow,06/02/2020,48.2,50.4,49.5,44.6,83.33,,19.7,29.1,73.46,41.7,0.17,8.33,,6.0,85.9,1014.7,"Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Overcast"
Moscow,06/03/2020,48.2,57.2,52.8,51.8,96.58,,12.1,,75.21,43.1,0.54,12.5,,4.2,98.2,1010.4,"Mist, Light Drizzle, Light Drizzle/Rain, Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Overcast"
Moscow,06/04/2020,54.3,64.4,58.2,53.9,86.39,,10.3,,186.83,,1.14,8.33,,5.2,74.4,1002.7,"Mist, Light Drizzle, Thunderstorm Without Precipitation, Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,06/05/2020,50.3,64.7,56.1,50.4,82.55,,13.1,33.6,157.54,,0.08,4.17,,5.8,47.8,1009.9,"Thunderstorm, Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,06/06/2020,51.5,69.8,61.7,54.1,77.93,,10.3,22.4,160.88,,0.04,4.17,,5.5,50.0,1012.7,"Mist, Fog, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,06/07/2020,60.8,79.5,69.7,61.0,76.07,,7.6,,156.13,,0.28,4.17,,5.8,36.8,1015.4,"Mist, Thunderstorm, Rain Showers, Fog, Light Rain, Sky Coverage Increasing",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,06/08/2020,61.2,82.8,73.0,61.7,70.77,82.7,7.6,,120.83,,0.0,0.0,,5.6,11.4,,"Mist, Fog",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
Moscow,06/09/2020,65.2,82.1,74.6,62.2,67.41,82.6,12.6,24.6,129.92,,0.0,0.0,,6.2,17.2,,,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
Moscow,06/10/2020,61.2,82.4,70.2,59.8,71.46,83.0,16.1,33.6,152.29,,0.12,4.17,,6.0,21.4,1017.0,"Thunderstorm, Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Rain
Moscow,06/11/2020,59.3,84.2,72.6,60.4,68.12,84.9,9.9,20.1,173.86,,0.0,0.0,,6.2,11.4,,Mist,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
Moscow,06/12/2020,58.3,74.5,67.5,59.4,75.73,,17.4,31.3,78.78,,0.02,4.17,,6.1,35.9,1017.0,"Thunderstorm, Rain Showers",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,06/13/2020,51.6,62.7,56.4,48.7,76.82,,17.5,26.8,73.29,,0.83,4.17,,6.0,66.0,1019.4,"Mist, Thunderstorm, Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,06/14/2020,52.6,68.7,61.4,45.9,58.12,,20.1,29.1,94.92,,0.0,0.0,,6.2,9.4,1023.1,,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
Moscow,06/15/2020,56.2,71.6,64.6,48.8,57.3,,12.1,20.1,116.92,,0.0,0.0,,6.2,0.0,,,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
Moscow,06/16/2020,60.1,83.9,71.8,56.7,61.05,83.6,8.9,,151.21,,0.0,0.0,,6.2,9.1,1019.2,"Light Rain, Sky Coverage Increasing",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
Moscow,06/17/2020,63.0,84.9,75.5,56.7,53.62,84.2,8.9,20.1,216.35,,0.0,0.0,,6.2,0.0,,,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
Moscow,06/18/2020,63.8,86.6,74.7,61.1,65.03,86.5,9.8,,132.7,,1.61,4.17,,6.0,12.6,1016.8,"Mist, Thunderstorm, Thunderstorm Without Precipitation",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Rain
Moscow,06/19/2020,66.0,84.8,74.7,62.7,67.77,85.5,9.5,,144.42,,0.0,0.0,,6.1,25.8,1015.5,"Mist, Thunderstorm, Thunderstorm Without Precipitation, Sky Coverage Increasing",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Partially cloudy
Moscow,06/20/2020,65.5,82.4,71.5,61.0,70.16,83.1,12.1,26.8,158.5,,0.08,4.17,,6.0,38.2,1014.4,"Mist, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,06/21/2020,53.4,66.3,59.3,50.9,75.19,,14.4,,70.58,,1.14,8.33,,5.8,45.9,1017.9,"Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,06/22/2020,50.0,71.6,62.7,45.9,56.67,,9.9,,97.13,,0.0,0.0,,6.2,1.2,1019.4,Mist,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
Moscow,06/23/2020,55.0,72.3,65.3,51.8,62.54,,8.5,,117.92,,0.0,0.0,,6.2,10.2,,,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
Moscow,06/24/2020,55.8,77.8,68.0,48.1,52.33,,18.8,,256.25,,0.0,0.0,,6.1,0.4,,Fog,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
Moscow,06/25/2020,53.2,81.3,68.0,50.4,55.27,80.9,20.1,35.8,230.79,,0.01,4.17,,6.0,16.3,1022.8,Rain Showers,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Rain
Moscow,06/26/2020,60.8,78.5,70.1,55.8,62.76,,8.5,,197.71,,0.0,0.0,,6.1,19.9,1023.2,Mist,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
Moscow,06/27/2020,62.0,83.9,74.2,56.6,56.42,82.9,17.5,29.1,263.63,,0.0,0.0,,6.1,2.6,1019.4,,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
Moscow,06/28/2020,62.3,80.6,70.7,56.4,62.05,80.3,14.9,,210.83,,0.0,0.0,,6.2,7.9,,,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
Moscow,06/29/2020,57.2,69.1,63.3,46.2,55.17,,12.1,,61.25,,0.0,0.0,,6.2,8.4,,,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
Moscow,06/30/2020,50.9,73.4,63.8,47.1,55.79,,14.9,,137.25,,0.0,0.0,,6.2,4.4,,Light Rain,55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
Moscow,07/01/2020,60.8,74.5,66.8,54.8,67.54,,13.5,,243.67,,0.0,0.0,,6.1,42.6,,"Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Partially cloudy
Moscow,07/02/2020,58.3,75.5,66.0,58.3,77.81,,11.3,17.9,203.08,,0.47,8.33,,5.7,30.6,1011.3,"Mist, Rain Showers",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,07/03/2020,61.5,79.1,68.5,62.2,81.57,,10.6,17.9,211.88,,0.71,4.17,,5.4,45.3,1012.8,"Mist, Thunderstorm, Fog, Rain Showers",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,07/04/2020,62.6,74.2,69.2,63.6,82.9,,10.3,,195.71,,0.12,4.17,,5.9,43.9,1012.4,"Mist, Rain Showers, Sky Coverage Increasing",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,07/05/2020,61.9,77.0,70.1,61.4,75.7,,8.1,17.9,202.92,,0.02,4.17,,5.1,26.6,1011.4,"Mist, Fog, Rain Showers, Light Rain",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,"Rain, Partially cloudy"
Moscow,07/06/2020,61.2,81.7,73.3,60.3,66.41,81.9,10.8,22.4,216.33,,0.0,0.0,,6.0,8.1,1010.7,"Mist, Fog",55.757,37.615,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",,Clear
