Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions,You have exceeded the maximum number of daily result records for your account. Please add a credit card to continue retrieving results.
Stockholm,05/16/2021,45.7,58.1,50.3,45.1,83.1,,10.0,17.2,157.71,43.1,0.0,20.83,,19.0,27.4,1006.2,"Drizzle, Mist, Light Drizzle, Rain, Fog, Rain Showers, Light Rain",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Partially cloudy,
Stockholm,05/17/2021,45.2,57.9,50.2,47.2,89.78,,9.4,16.7,141.67,42.3,0.61,50.0,,16.3,26.4,1002.6,"Drizzle, Mist, Light Drizzle, Rain, Rain Showers, Fog, Heavy Rain, Light Rain",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,"Rain, Partially cloudy",
Stockholm,05/18/2021,43.1,62.9,52.9,45.6,78.88,,8.2,14.1,190.54,40.3,0.0,0.0,,17.8,13.4,1006.2,"Mist, Fog",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Clear,
Stockholm,05/19/2021,42.1,64.9,54.4,44.7,72.11,,9.7,17.8,302.54,40.2,0.03,29.17,,27.9,11.9,1006.6,"Mist, Rain, Rain Showers",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Rain,
Stockholm,05/20/2021,43.8,58.4,52.5,42.5,69.94,,9.5,17.1,249.25,42.6,0.0,4.17,,28.4,13.6,1008.0,"Rain, Rain Showers",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Clear,
Stockholm,05/21/2021,39.4,58.3,49.9,43.3,79.37,,9.5,18.2,238.0,38.1,0.06,25.0,,25.8,12.5,1002.0,"Rain, Fog, Rain Showers, Light Rain",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Rain,
Stockholm,05/22/2021,40.4,57.7,50.2,44.4,81.55,,10.9,19.0,202.08,39.5,0.05,33.33,,22.7,17.3,1000.2,"Drizzle, Mist, Rain, Fog, Rain Showers, Light Rain",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Rain,
Stockholm,05/23/2021,39.1,58.2,49.7,44.9,84.71,,10.9,17.2,137.38,36.2,0.01,12.5,,18.7,21.2,1005.0,"Drizzle, Mist, Rain, Fog, Rain Showers, Light Rain",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Rain,
Stockholm,05/24/2021,45.7,52.9,49.3,46.6,90.45,,7.0,13.7,94.79,42.5,0.23,45.83,,19.2,31.4,1014.5,"Drizzle, Mist, Rain, Rain Showers, Fog, Light Rain",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,"Rain, Partially cloudy",
Stockholm,05/25/2021,42.2,57.8,50.6,44.8,81.94,,12.5,24.4,85.54,38.5,0.1,33.33,,19.0,26.6,1016.6,"Drizzle, Mist, Rain, Fog, Rain Showers, Light Rain",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,"Rain, Partially cloudy",
