Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Stockholm,05/16/2020,38.7,50.6,45.0,29.6,57.94,,14.5,25.8,267.04,33.9,0.01,33.33,,29.7,11.2,1002.3,"Rain, Rain Showers, Light Rain",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Rain
Stockholm,05/17/2020,34.0,51.0,44.5,32.6,64.75,,13.5,26.8,272.92,33.0,0.04,29.17,,28.0,10.7,1004.2,"Drizzle, Mist, Rain, Rain Showers, Fog, Light Rain",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Rain
Stockholm,05/18/2020,29.1,54.8,43.8,34.8,73.48,,11.2,17.9,241.38,22.3,0.02,37.5,,26.7,5.9,1010.6,"Mist, Rain, Fog, Rain Showers",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Rain
Stockholm,05/19/2020,34.7,54.1,45.0,36.5,74.79,,9.7,20.2,201.87,37.2,0.03,29.17,,28.4,9.5,1012.9,"Mist, Rain, Rain Showers, Light Rain",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Rain
Stockholm,05/20/2020,30.9,53.9,44.2,32.2,66.57,,11.5,21.0,236.92,26.1,0.0,4.17,,29.1,4.2,1022.0,"Rain, Rain Showers",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Clear
Stockholm,05/21/2020,33.6,59.0,48.2,32.8,59.91,,10.2,16.6,192.08,37.2,0.0,0.0,,28.2,3.8,1025.1,"Mist, Fog",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Clear
Stockholm,05/22/2020,35.7,58.9,49.7,31.4,53.38,,11.9,18.3,126.54,32.5,0.0,0.0,,28.6,2.5,1024.9,,59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Clear
Stockholm,05/23/2020,45.5,51.8,48.2,40.0,74.37,,12.1,23.5,160.46,40.9,0.04,41.67,,24.8,10.5,1018.1,"Drizzle, Mist, Light Drizzle, Rain, Rain Showers, Light Rain",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Rain
Stockholm,05/24/2020,40.8,59.0,51.8,44.4,77.82,,12.3,20.3,173.17,44.3,0.0,20.83,,14.3,9.2,1014.3,"Drizzle, Mist, Rain, Rain Showers, Fog",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Clear
Stockholm,05/25/2020,42.7,60.5,51.7,44.6,78.78,,7.3,13.7,112.13,40.8,0.0,8.33,,16.3,7.1,1025.2,"Drizzle, Mist, Rain, Fog",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Clear
Stockholm,05/26/2020,38.0,66.7,55.7,43.0,65.9,,9.1,15.9,190.54,43.2,0.0,0.0,,21.6,2.7,1032.2,"Mist, Fog",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Clear
Stockholm,05/27/2020,45.2,65.2,55.0,45.6,72.27,,11.8,26.0,247.63,42.1,0.02,20.83,,25.3,9.4,1025.9,"Drizzle, Rain, Rain Showers, Fog, Heavy Rain, Light Rain",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Rain
Stockholm,05/28/2020,39.4,60.2,51.2,38.8,65.9,,9.8,21.4,290.67,37.3,0.0,0.0,,25.5,3.7,1029.1,"Mist, Fog",59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Clear
Stockholm,05/29/2020,38.6,61.0,51.7,40.0,67.32,,9.5,18.1,201.21,37.7,0.0,0.0,,26.0,6.7,1030.1,Fog,59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Clear
Stockholm,05/30/2020,40.2,65.2,54.9,40.9,62.19,,14.4,26.1,134.79,36.1,0.0,0.0,,26.9,6.3,1029.5,,59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Clear
Stockholm,05/31/2020,46.0,69.0,58.9,39.6,51.66,,12.2,23.6,129.08,43.0,0.0,0.0,,28.2,0.0,1029.8,,59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Clear
Stockholm,06/01/2020,45.9,75.1,62.8,45.3,54.7,,8.7,15.9,245.79,43.4,0.0,0.0,,26.1,1.2,1026.0,,59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Clear
Stockholm,06/02/2020,42.3,62.3,56.5,42.6,61.57,,11.7,17.5,114.33,44.4,0.0,0.0,,26.7,0.1,1019.5,Smoke Or Haze,59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Clear
Stockholm,06/03/2020,37.0,64.6,53.1,40.1,64.95,,14.8,16.9,98.71,37.0,0.0,0.0,,25.3,1.2,1012.4,Mist,59.3326,18.0668,"Stockholm, Stockholms län, Sverige","Stockholm, Stockholms län, Sverige",,Clear
