Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions,You have exceeded the maximum number of daily result records for your account. Please add a credit card to continue retrieving results.
Ljubljana,05/16/2021,47.8,66.9,58.1,51.1,78.39,,9.4,20.3,179.63,46.7,0.14,12.5,45.28,16.0,35.6,1007.6,"Drizzle, Light Drizzle, Rain, Heavy Drizzle/Rain, Light Drizzle/Rain, Fog, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Increasing, Sky Unchanged",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija",,"Rain, Partially cloudy",
Ljubljana,05/17/2021,48.7,61.6,54.3,48.8,82.65,,8.0,22.1,189.5,,1.47,12.5,41.34,13.6,52.2,1006.8,"Drizzle, Heavy Snow, Light Snow, Light Drizzle, Heavy Drizzle/Rain, Thunderstorm, Light Drizzle/Rain, Ice, Rain, Heavy Rain And Snow, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija",,"Rain, Partially cloudy",
Ljubljana,05/18/2021,46.3,69.8,56.0,45.3,72.2,,6.7,15.7,151.33,45.2,0.03,4.76,39.37,16.2,31.4,1012.4,"Hail Showers, Mist, Precipitation In Vicinity, Rain, Fog, Rain Showers, Sky Coverage Decreasing",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija",,"Rain, Partially cloudy",
Ljubljana,05/19/2021,47.2,57.3,50.2,45.6,84.6,,10.7,20.8,180.58,43.3,1.63,12.5,41.34,14.4,59.0,1013.7,"Drizzle, Light Snow, Light Drizzle, Rain, Light Drizzle/Rain, Rain Showers, Fog, Heavy Rain, Light Rain, Sky Coverage Increasing, Snow",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija",,"Rain, Partially cloudy",
Ljubljana,05/20/2021,43.8,69.6,57.9,40.1,57.14,,8.9,17.9,235.36,42.5,0.01,4.55,41.34,25.8,30.9,1017.1,"Fog, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija",,"Rain, Partially cloudy",
Ljubljana,05/21/2021,44.9,70.6,58.7,41.7,56.74,,13.0,24.1,207.09,47.6,0.0,0.0,39.37,30.3,36.4,1017.4,,46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija",,Partially cloudy,
Ljubljana,05/22/2021,55.0,63.5,59.3,45.0,59.97,,11.2,28.3,246.25,,1.0,12.5,37.4,26.0,36.5,1013.2,"Drizzle, Precipitation In Vicinity, Light Drizzle, Rain, Heavy Drizzle/Rain, Rain Showers, Fog, Heavy Rain, Light Rain, Sky Coverage Increasing, Sky Unchanged",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija",,"Rain, Partially cloudy",
Ljubljana,05/23/2021,49.0,63.9,54.3,50.2,86.5,,14.1,27.9,268.29,46.4,0.49,12.5,35.43,15.0,46.6,1016.6,"Ice, Drizzle, Heavy Snow, Mist, Light Drizzle, Rain, Heavy Drizzle/Rain, Light Drizzle/Rain, Rain Showers, Heavy Rain, Light Rain",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija",,"Rain, Partially cloudy",
Ljubljana,05/24/2021,46.6,52.7,49.8,47.9,92.96,,4.7,11.2,118.0,46.7,0.65,13.04,35.43,9.6,70.8,1021.0,"Mist, Light Drizzle, Rain, Heavy Drizzle/Rain, Light Drizzle/Rain, Rain Showers, Heavy Rain, Light Rain",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija",,"Rain, Partially cloudy",
Ljubljana,05/25/2021,47.2,66.3,55.0,49.3,82.39,,8.9,33.5,152.04,45.3,0.28,13.04,33.46,9.7,56.9,1017.9,"Drizzle, Light Drizzle, Heavy Drizzle/Rain, Light Drizzle/Rain, Fog, Ice, Mist, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Increasing",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija",,"Rain, Partially cloudy",
Ljubljana,05/26/2021,42.1,70.1,55.9,44.8,70.14,,7.9,15.4,145.21,37.4,0.12,4.17,31.5,26.6,19.1,1020.1,"Mist, Fog, Sky Coverage Decreasing, Sky Coverage Increasing",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija",,Rain,
Ljubljana,05/27/2021,48.1,75.1,59.4,48.3,68.55,,11.0,20.8,169.7,46.6,0.08,4.17,29.53,21.7,42.4,1015.6,"Drizzle, Precipitation In Vicinity, Thunderstorm, Rain, Thunderstorm Without Precipitation, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Increasing, Sky Unchanged",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija",,"Rain, Partially cloudy",
Ljubljana,05/28/2021,46.8,70.2,59.4,46.7,66.67,,6.7,13.4,119.96,44.8,0.03,4.17,27.56,26.8,25.0,1019.5,"Mist, Fog, Light Rain, Sky Coverage Increasing, Sky Unchanged",46.0506,14.5028,"Ljubljana, Slovenija","Ljubljana, Slovenija",,Rain,
