Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions,You have exceeded the maximum number of daily result records for your account. Please add a credit card to continue retrieving results.
Bratislava,05/16/2021,49.7,67.5,57.4,47.7,73.07,,13.5,26.8,209.63,45.1,0.27,25.0,,8.6,0.1,1006.4,"Light Drizzle, Rain, Rain Showers, Light Rain",48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,Rain,
Bratislava,05/17/2021,50.2,56.8,52.9,50.4,91.4,,11.3,20.1,255.88,,1.12,58.33,,8.9,36.1,1005.0,"Rain, Rain Showers, Light Rain",48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,"Rain, Partially cloudy",
Bratislava,05/18/2021,47.0,63.4,54.4,44.5,70.6,,13.8,31.3,270.33,43.1,0.04,8.33,,21.6,21.6,1010.7,"Rain, Rain Showers, Sky Coverage Decreasing",48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,Rain,
Bratislava,05/19/2021,49.0,60.9,52.8,44.2,73.18,,11.4,29.1,314.67,46.0,0.2,20.83,,21.2,32.5,1012.8,"Precipitation In Vicinity, Rain, Rain Showers",48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,"Rain, Partially cloudy",
Bratislava,05/20/2021,48.3,64.2,54.2,44.1,70.68,,11.6,35.8,289.04,44.2,0.17,50.0,,18.5,31.3,1016.4,"Lightning Without Thunder, Rain, Rain Showers, Sky Coverage Decreasing",48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,"Rain, Partially cloudy",
Bratislava,05/21/2021,50.1,68.9,59.5,43.7,57.52,,9.3,,211.38,,0.02,4.17,,20.6,18.0,1014.6,,48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,Rain,
Bratislava,05/22/2021,50.0,58.5,54.1,45.9,74.3,,9.4,,251.33,46.2,0.06,16.67,,11.4,0.0,1011.6,"Rain, Rain Showers, Light Rain",48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,Rain,
Bratislava,05/23/2021,48.3,55.0,50.7,47.0,87.3,,11.4,24.6,201.04,46.3,0.68,37.5,,10.7,0.1,1016.7,"Rain, Rain Showers, Light Rain",48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,Rain,
Bratislava,05/24/2021,45.8,58.6,51.6,47.4,86.01,,11.5,33.6,153.17,43.9,0.37,29.17,,10.5,33.7,1020.8,"Precipitation In Vicinity, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Increasing",48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,"Rain, Partially cloudy",
Bratislava,05/25/2021,47.5,55.8,52.1,45.8,81.01,,13.9,31.3,222.88,45.4,0.46,25.0,,13.5,34.5,1017.5,"Rain, Rain Showers, Light Rain, Sky Coverage Increasing",48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,"Rain, Partially cloudy",
Bratislava,05/26/2021,43.5,68.0,56.2,39.9,56.04,,11.6,35.8,195.25,42.4,0.0,0.0,,22.4,3.6,1019.0,,48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,Clear,
