Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Bratislava,05/16/2020,44.7,64.3,54.8,42.1,65.3,,9.1,,209.71,40.3,0.0,0.0,,8.8,0.0,1022.2,,48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,Clear
Bratislava,05/17/2020,50.6,70.6,59.3,43.7,58.05,,6.7,,168.0,,0.01,12.5,,11.9,0.0,1020.3,"Rain, Rain Showers",48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,Rain
Bratislava,05/18/2020,52.5,76.9,65.2,43.4,46.6,,11.1,,204.92,,0.0,0.0,,12.6,2.4,1021.7,,48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,Clear
Bratislava,05/19/2020,57.0,75.7,66.5,49.8,56.32,,6.9,,223.96,,0.0,4.17,,12.4,16.4,1018.0,Rain,48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,Clear
Bratislava,05/20/2020,58.0,69.9,64.1,43.6,48.55,,13.5,29.1,247.92,,0.0,0.0,,19.8,19.2,1016.6,,48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,Clear
Bratislava,05/21/2020,52.8,67.9,60.0,35.0,39.72,,9.3,,181.92,,0.0,0.0,,22.9,10.8,1020.9,,48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,Clear
Bratislava,05/22/2020,47.0,70.2,59.3,33.6,38.87,,6.8,15.7,197.33,45.0,0.0,4.17,,11.9,0.0,1023.5,"Rain, Light Rain",48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,Clear
Bratislava,05/23/2020,53.2,62.2,56.8,53.8,90.31,,18.7,31.3,180.08,,0.93,45.83,,3.8,0.1,1022.3,"Lightning Without Thunder, Rain, Rain Showers, Light Rain",48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,Rain
Bratislava,05/24/2020,49.6,65.6,56.0,46.0,71.47,,19.6,38.0,284.58,45.8,0.9,16.67,,10.2,0.2,1025.2,"Rain, Rain Showers, Light Rain",48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,Rain
Bratislava,05/25/2020,47.3,60.3,53.4,46.5,78.24,,9.4,26.8,294.71,45.3,0.55,33.33,,13.8,30.5,1026.1,"Precipitation In Vicinity, Rain, Thunderstorm, Rain Showers, Light Rain",48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,"Rain, Partially cloudy"
Bratislava,05/26/2020,48.4,61.2,53.5,46.6,78.16,,11.6,22.4,323.08,44.6,0.47,20.83,,19.2,30.6,1028.9,"Lightning Without Thunder, Rain, Thunderstorm, Rain Showers, Light Rain, Sky Coverage Increasing",48.1492,17.107,"Bratislava, Bratislavský kraj, Slovenská Republika","Bratislava, Bratislavský kraj, Slovenská Republika",,"Rain, Partially cloudy"
