Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions,You have exceeded the maximum number of daily result records for your account. Please add a credit card to continue retrieving results.
City of San Marino,05/16/2021,79.7,96.8,88.7,74.9,64.79,110.0,13.9,,102.55,,0.12,8.33,,6.2,30.9,1009.2,"Precipitation In Vicinity, Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze",14.6098,121.029,"Marina, 1500 San Juan, Philippines","Marina, 1500 San Juan, Philippines",,"Rain, Partially cloudy",
City of San Marino,05/17/2021,80.2,96.8,88.8,74.2,63.1,110.0,12.8,24.6,114.57,,0.0,0.0,,6.2,30.9,1008.9,"Lightning Without Thunder, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze",14.6098,121.029,"Marina, 1500 San Juan, Philippines","Marina, 1500 San Juan, Philippines",,Partially cloudy,
City of San Marino,05/18/2021,79.7,93.8,87.6,75.6,68.18,107.5,12.8,,113.0,,0.06,8.33,,6.2,72.2,1009.5,"Lightning Without Thunder, Precipitation In Vicinity, Thunderstorm Without Precipitation, Sky Coverage Decreasing, Smoke Or Haze",14.6098,121.029,"Marina, 1500 San Juan, Philippines","Marina, 1500 San Juan, Philippines",,"Rain, Partially cloudy",
City of San Marino,05/19/2021,79.7,95.1,87.8,74.3,65.35,110.0,12.8,157.5,110.71,,0.0,0.0,,6.2,58.7,1009.1,Smoke Or Haze,14.6098,121.029,"Marina, 1500 San Juan, Philippines","Marina, 1500 San Juan, Philippines",,Partially cloudy,
City of San Marino,05/20/2021,79.7,96.8,88.3,75.2,66.0,110.0,10.3,26.8,126.83,,0.0,0.0,,6.1,60.2,1009.9,"Lightning Without Thunder, Thunderstorm, Smoke Or Haze",14.6098,121.029,"Marina, 1500 San Juan, Philippines","Marina, 1500 San Juan, Philippines",,Partially cloudy,
City of San Marino,05/21/2021,82.7,96.8,87.2,76.5,71.69,107.5,11.3,,161.53,,0.0,0.0,,6.1,62.5,1009.6,"Lightning Without Thunder, Precipitation In Vicinity, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze",14.6098,121.029,"Marina, 1500 San Juan, Philippines","Marina, 1500 San Juan, Philippines",,Partially cloudy,
City of San Marino,05/22/2021,79.7,95.0,86.8,76.9,73.27,107.8,18.3,,187.95,,0.04,4.17,,6.2,55.1,1008.3,"Rain, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze",14.6098,121.029,"Marina, 1500 San Juan, Philippines","Marina, 1500 San Juan, Philippines",,"Rain, Partially cloudy",
City of San Marino,05/23/2021,81.7,96.8,88.0,76.3,69.76,109.8,9.2,,149.95,,0.04,4.17,,6.0,51.1,1008.7,"Lightning Without Thunder, Thunderstorm, Thunderstorm Without Precipitation, Sky Coverage Increasing, Smoke Or Haze",14.6098,121.029,"Marina, 1500 San Juan, Philippines","Marina, 1500 San Juan, Philippines",,"Rain, Partially cloudy",
City of San Marino,05/24/2021,78.4,96.8,86.5,74.0,67.47,107.5,11.8,20.1,149.47,,0.23,4.17,,6.0,34.6,1009.8,"Lightning Without Thunder, Precipitation In Vicinity, Thunderstorm, Sky Coverage Increasing, Smoke Or Haze",14.6098,121.029,"Marina, 1500 San Juan, Philippines","Marina, 1500 San Juan, Philippines",,"Rain, Partially cloudy",
City of San Marino,05/25/2021,79.7,96.8,88.3,75.3,66.67,107.5,10.3,,148.71,,0.0,0.0,,5.9,36.2,1009.8,"Lightning Without Thunder, Thunderstorm, Fog, Smoke Or Haze",14.6098,121.029,"Marina, 1500 San Juan, Philippines","Marina, 1500 San Juan, Philippines",,Partially cloudy,
