Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions,You have exceeded the maximum number of daily result records for your account. Please add a credit card to continue retrieving results.
Ankara,05/16/2021,58.2,75.0,64.3,43.3,47.77,,16.1,39.1,124.35,,0.01,4.17,0.0,10.8,53.8,1002.8,"Thunderstorm, Thunderstorm Without Precipitation, Sky Coverage Decreasing, Sky Coverage Increasing",39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,"Rain, Partially cloudy",
Ankara,05/17/2021,50.9,70.0,60.9,41.1,50.35,,8.8,15.0,189.75,,0.0,0.0,0.0,11.0,41.3,1007.2,Rain Showers,39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,Partially cloudy,
Ankara,05/18/2021,52.8,80.1,68.6,40.7,38.14,78.7,9.6,18.3,216.67,,0.0,0.0,0.0,11.0,32.5,1006.4,,39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,Partially cloudy,
Ankara,05/19/2021,52.5,75.3,64.3,33.1,36.4,,9.1,21.9,235.92,,0.0,0.0,0.0,11.1,4.3,1011.6,,39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,Clear,
Ankara,05/20/2021,52.4,88.6,73.0,28.1,22.86,84.9,9.8,21.9,178.96,,0.0,0.0,0.0,11.0,1.6,1004.9,,39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,Clear,
Ankara,05/21/2021,59.4,84.7,70.2,37.8,33.91,81.6,17.0,28.8,150.57,,0.0,0.0,0.0,11.0,14.2,1002.4,,39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,Clear,
Ankara,05/22/2021,53.0,61.3,56.2,43.0,61.41,,9.0,26.3,195.58,,0.21,8.33,,10.8,76.3,1011.0,"Thunderstorm, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,"Rain, Overcast",
Ankara,05/23/2021,47.6,74.3,60.9,36.7,43.28,,10.7,19.7,82.13,49.0,0.0,0.0,0.0,11.0,31.6,1015.0,,39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,Partially cloudy,
Ankara,05/24/2021,51.6,81.9,68.0,37.9,36.34,79.5,11.7,19.7,30.96,,0.0,0.0,0.0,11.0,5.5,1016.2,,39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,Clear,
Ankara,05/25/2021,57.2,84.5,72.5,36.2,28.65,81.5,7.9,11.4,87.08,,0.0,0.0,0.0,11.0,4.9,1014.2,,39.9211,32.8539,"Ankara, Türkiye","Ankara, Türkiye",,Clear,
