Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions,You have exceeded the maximum number of daily result records for your account. Please add a credit card to continue retrieving results.
"50.450100,30.523399",05/16/2021,45.0,75.2,63.0,49.3,65.52,,8.7,,127.22,46.8,0.0,0.0,,7.1,12.5,1010.5,Mist,50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,Clear,
"50.450100,30.523399",05/17/2021,55.5,65.9,61.2,54.6,79.9,,11.2,,240.71,,0.2,8.33,,6.9,48.5,1003.7,"Mist, Rain Showers, Light Rain, Sky Coverage Increasing",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,"Rain, Partially cloudy",
"50.450100,30.523399",05/18/2021,51.6,62.9,57.4,55.7,94.16,,10.9,,107.21,,0.24,4.17,,3.8,41.0,1001.1,"Lightning Without Thunder, Mist, Thunderstorm, Fog, Rain Showers, Light Rain, Sky Coverage Increasing",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,"Rain, Partially cloudy",
"50.450100,30.523399",05/19/2021,53.6,65.7,57.8,54.5,89.78,,13.3,,189.29,,0.17,8.33,,5.3,68.7,1000.6,"Lightning Without Thunder, Mist, Light Drizzle, Thunderstorm, Thunderstorm Without Precipitation, Fog, Rain Showers, Light Rain, Sky Coverage Increasing",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,"Rain, Partially cloudy",
"50.450100,30.523399",05/20/2021,50.2,62.4,55.8,48.7,78.96,,19.7,26.8,263.04,,0.12,4.17,,6.2,69.5,1005.3,"Mist, Light Drizzle, Rain Showers, Light Rain, Sky Coverage Increasing",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,"Rain, Partially cloudy",
"50.450100,30.523399",05/21/2021,48.7,66.8,57.5,44.1,65.06,,13.0,20.3,309.04,46.2,0.08,4.17,,6.8,19.8,1012.3,"Rain Showers, Light Rain",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,Rain,
"50.450100,30.523399",05/22/2021,43.1,71.8,61.2,43.2,55.39,,13.2,22.4,194.58,45.4,0.0,0.0,,7.2,13.3,1014.9,,50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,Clear,
"50.450100,30.523399",05/23/2021,53.7,69.8,61.5,46.3,60.24,,11.3,26.8,249.04,,0.02,4.17,,7.1,27.6,1014.4,"Rain Showers, Light Rain, Sky Coverage Increasing, Sky Unchanged",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,"Rain, Partially cloudy",
"50.450100,30.523399",05/24/2021,50.2,66.1,57.5,49.0,74.87,,15.5,24.6,76.54,,0.43,8.33,,6.6,50.6,1019.3,"Rain Showers, Light Rain",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,"Rain, Partially cloudy",
"50.450100,30.523399",05/25/2021,45.0,69.9,61.3,48.8,66.54,,8.9,20.1,143.75,,0.0,0.0,,7.1,12.9,1021.3,,50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,Clear,
"50.450100,30.523399",05/26/2021,58.8,66.2,62.4,56.3,80.57,,8.7,,226.67,,0.01,4.17,,7.0,52.3,1018.1,"Rain Showers, Light Rain, Sky Coverage Increasing",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,"Rain, Partially cloudy",
"50.450100,30.523399",05/27/2021,55.3,71.1,62.6,58.7,88.03,,6.7,,168.0,,0.16,4.17,,5.9,50.9,1016.5,"Mist, Fog, Rain Showers, Light Rain, Sky Coverage Increasing",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,"Rain, Partially cloudy",
"50.450100,30.523399",05/28/2021,57.4,71.7,64.1,59.7,86.7,,11.3,22.4,125.67,,0.26,8.33,,5.0,49.9,1012.9,"Lightning Without Thunder, Mist, Thunderstorm, Rain Showers, Fog, Light Rain",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,"Rain, Partially cloudy",
"50.450100,30.523399",05/29/2021,57.2,64.5,60.5,55.6,84.92,,15.3,,293.17,,0.28,4.17,,5.8,63.8,1010.6,"Mist, Fog",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,"Rain, Partially cloudy",
"50.450100,30.523399",05/30/2021,53.5,60.7,57.1,52.4,84.53,,13.0,,173.5,,0.04,8.33,,6.5,62.6,1012.8,"Mist, Light Drizzle, Rain, Rain Showers, Light Rain",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,"Rain, Partially cloudy",
"50.450100,30.523399",05/31/2021,50.0,58.9,54.3,46.5,75.57,,11.2,,56.54,,0.02,4.17,,7.0,55.6,1016.6,"Rain Showers, Light Rain, Sky Coverage Increasing",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,"Rain, Partially cloudy",
"50.450100,30.523399",06/01/2021,42.7,60.7,53.7,40.7,63.73,,17.8,29.1,41.29,38.6,0.0,0.0,,7.2,23.4,1016.8,,50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,Clear,
"50.450100,30.523399",06/02/2021,51.6,62.8,57.2,42.4,58.19,,18.2,29.1,25.33,,0.0,0.0,,7.2,31.8,1017.1,Rain Showers,50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,Partially cloudy,
"50.450100,30.523399",06/03/2021,53.4,69.6,62.6,42.7,49.02,,17.9,31.3,35.25,,0.0,0.0,,7.2,18.4,1019.7,,50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,Clear,
"50.450100,30.523399",06/04/2021,57.0,73.3,64.9,44.2,49.05,,13.4,,114.08,,0.0,0.0,,7.2,22.5,1020.6,,50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,Clear,
"50.450100,30.523399",06/05/2021,51.8,71.8,64.1,46.6,55.49,,9.1,,288.29,,0.0,0.0,,7.2,17.6,1017.1,Light Rain,50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,Clear,
"50.450100,30.523399",06/06/2021,50.3,72.4,61.7,51.2,70.67,,12.7,22.4,223.29,,0.02,4.17,,7.0,34.5,1013.3,"Thunderstorm Without Precipitation, Rain Showers, Light Rain",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,"Rain, Partially cloudy",
"50.450100,30.523399",06/07/2021,53.7,75.2,64.0,55.1,75.48,,11.1,,283.46,,0.16,4.17,,6.8,33.5,1012.0,"Lightning Without Thunder, Thunderstorm, Rain Showers",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,"Rain, Partially cloudy",
"50.450100,30.523399",06/08/2021,53.7,76.5,65.5,56.8,74.94,,10.8,,249.33,,0.0,0.0,,7.2,26.5,1011.7,"Lightning Without Thunder, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Increasing",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,Partially cloudy,
"50.450100,30.523399",06/09/2021,55.2,74.8,66.2,56.0,71.64,,13.6,,273.96,,0.02,8.33,,6.9,19.3,1010.7,"Lightning Without Thunder, Mist, Thunderstorm, Fog, Rain Showers, Sky Coverage Increasing",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,Rain,
"50.450100,30.523399",06/10/2021,57.2,71.4,65.2,57.2,76.37,,13.2,,290.46,,0.02,4.17,,6.7,29.9,1009.9,"Lightning Without Thunder, Mist, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,"Rain, Partially cloudy",
"50.450100,30.523399",06/11/2021,57.5,73.3,65.8,56.9,75.14,,13.2,,189.67,,0.0,0.0,,7.2,45.9,1010.7,"Rain Showers, Light Rain, Sky Coverage Increasing",50.4501,30.523398999999998,"50.450100,30.523399","50.450100,30.523399",,Partially cloudy,
