Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Pristina,05/16/2021,47.9,69.3,58.9,44.4,60.12,,20.8,,251.42,47.0,0.36,12.5,,6.5,66.4,1010.3,"Rain, Sky Coverage Increasing",42.6718,21.1624,"Prishtinë, Kosovë","Prishtinë, Kosovë",,"Rain, Partially cloudy"
Pristina,05/17/2021,55.0,69.8,61.5,45.0,55.71,,23.0,31.3,215.43,,0.07,8.33,,6.3,74.5,1008.8,"Light Drizzle, Rain, Fog, Light Rain, Sky Coverage Increasing",42.6718,21.1624,"Prishtinë, Kosovë","Prishtinë, Kosovë",,"Rain, Partially cloudy"
Pristina,05/18/2021,50.0,73.4,60.9,39.5,49.75,,14.1,24.6,278.45,46.3,0.13,4.17,,6.5,40.3,1012.2,"Rain, Sky Coverage Increasing",42.6718,21.1624,"Prishtinë, Kosovë","Prishtinë, Kosovë",,"Rain, Partially cloudy"
Pristina,05/19/2021,42.7,71.6,58.9,37.3,48.24,,20.8,,198.1,41.1,0.0,4.17,,6.5,50.1,1011.8,"Rain, Light Rain, Sky Coverage Increasing",42.6718,21.1624,"Prishtinë, Kosovë","Prishtinë, Kosovë",,Partially cloudy
Pristina,05/20/2021,46.3,59.0,53.2,42.8,68.32,,18.3,26.8,257.65,44.1,0.85,16.67,,6.2,78.6,1011.1,"Light Snow, Rain, Thunderstorm, Thunderstorm Without Precipitation, Light Rain And Snow, Fog, Rain Showers, Light Rain, Sky Coverage Increasing, Sky Unchanged",42.6718,21.1624,"Prishtinë, Kosovë","Prishtinë, Kosovë",,"Rain, Overcast"
Pristina,05/21/2021,47.9,66.2,56.2,38.6,54.1,,13.9,26.8,235.77,43.5,0.37,12.5,1.97,6.3,45.1,1018.1,"Light Snow, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",42.6718,21.1624,"Prishtinë, Kosovë","Prishtinë, Kosovë",,"Rain, Partially cloudy"
Pristina,05/22/2021,40.9,73.4,58.3,36.5,50.3,,18.7,,190.1,43.2,0.0,0.0,,6.5,1.9,1018.3,,42.6718,21.1624,"Prishtinë, Kosovë","Prishtinë, Kosovë",,Clear
Pristina,05/23/2021,44.6,82.4,65.3,40.0,42.94,80.4,20.8,35.8,219.53,48.4,0.0,0.0,,6.4,1.1,1017.9,,42.6718,21.1624,"Prishtinë, Kosovë","Prishtinë, Kosovë",,Clear
Pristina,05/24/2021,57.0,80.3,67.6,50.6,55.94,80.1,18.3,24.6,246.61,,0.0,0.0,,6.3,2.1,1021.4,,42.6718,21.1624,"Prishtinë, Kosovë","Prishtinë, Kosovë",,Clear
Pristina,05/25/2021,60.8,86.0,72.9,48.1,46.23,83.0,19.7,29.1,197.9,,0.0,0.0,,6.4,15.2,1017.6,,42.6718,21.1624,"Prishtinë, Kosovë","Prishtinë, Kosovë",,Clear
Pristina,05/26/2021,53.6,73.4,64.1,45.5,51.93,,18.3,29.1,218.78,,0.0,0.0,,6.3,23.6,1018.1,"Fog, Sky Coverage Decreasing",42.6718,21.1624,"Prishtinë, Kosovë","Prishtinë, Kosovë",,Clear
Pristina,05/27/2021,51.8,76.5,64.9,50.4,60.8,,12.8,,183.76,,0.04,8.33,,6.4,46.4,1013.8,"Thunderstorm, Thunderstorm Without Precipitation, Sky Coverage Decreasing, Sky Coverage Increasing",42.6718,21.1624,"Prishtinë, Kosovë","Prishtinë, Kosovë",,"Rain, Partially cloudy"
